DonorName,country_code,gdp,climate_class_number,climate_class,meta_category,no_projects,effective_funding,climate_funding
Australia,AUS,1343450000000.0,0,Adaptation,Adaptation,538,274.88748366000004,274.88748366000004
Australia,AUS,1343450000000.0,1,Solar-energy,Mitigation,8,0.0911320199999999,0.0911320199999999
Australia,AUS,1343450000000.0,2,Bioenergy,Mitigation,9,0.46388072,0.46388072
Australia,AUS,1343450000000.0,3,Other-mitigation-projects,Mitigation,97,93.4889347625,93.4889347625
Australia,AUS,1343450000000.0,4,Biodiversity,Environment,30,2.1843780569999995,0.0
Australia,AUS,1343450000000.0,6,Nature_conservation,Environment,35,12.344863560000002,0.0
Australia,AUS,1343450000000.0,7,Other-environment-projects,Environment,88,67.210076872,0.0
Australia,AUS,1343450000000.0,8,Sustainable-land-use,Environment,165,45.409291168599005,0.0
Australia,AUS,1343450000000.0,10,Renewables-multiple,Mitigation,124,95.4741318437,95.4741318437
Australia,AUS,1343450000000.0,11,Hydro-energy,Mitigation,32,21.338194389,21.338194389
Australia,AUS,1343450000000.0,12,Energy-efficiency,Mitigation,8,4.612059899999999,4.612059899999999
Austria,AUT,419437000000.0,0,Adaptation,Adaptation,257,65.37411098300001,65.37411098300001
Austria,AUT,419437000000.0,1,Solar-energy,Mitigation,147,19.024717019999997,19.024717019999997
Austria,AUT,419437000000.0,2,Bioenergy,Mitigation,30,3.1297456899999996,3.1297456899999996
Austria,AUT,419437000000.0,3,Other-mitigation-projects,Mitigation,116,38.389075978,38.389075978
Austria,AUT,419437000000.0,4,Biodiversity,Environment,11,0.5685044899999998,0.0
Austria,AUT,419437000000.0,5,Geothermal-energy,Mitigation,2,0.02601885,0.02601885
Austria,AUT,419437000000.0,6,Nature_conservation,Environment,66,5.36624582,0.0
Austria,AUT,419437000000.0,7,Other-environment-projects,Environment,108,17.187004549999997,0.0
Austria,AUT,419437000000.0,8,Sustainable-land-use,Environment,340,43.675649312,0.0
Austria,AUT,419437000000.0,10,Renewables-multiple,Mitigation,175,58.342229587,58.342229587
Austria,AUT,419437000000.0,11,Hydro-energy,Mitigation,42,9.01303768,9.01303768
Austria,AUT,419437000000.0,12,Energy-efficiency,Mitigation,50,11.12572922,11.12572922
Austria,AUT,419437000000.0,13,Wind-energy,Mitigation,9,0.2020837199999999,0.2020837199999999
Azerbaijan,AZE,45393607318.0,6,Nature_conservation,Environment,1,0.37824,0.0
Belgium,BEL,502827000000.0,0,Adaptation,Adaptation,194,112.20259914,112.20259914
Belgium,BEL,502827000000.0,1,Solar-energy,Mitigation,7,0.7663488999999998,0.7663488999999998
Belgium,BEL,502827000000.0,2,Bioenergy,Mitigation,26,170.4083775,170.4083775
Belgium,BEL,502827000000.0,3,Other-mitigation-projects,Mitigation,33,106.05834469999999,106.05834469999999
Belgium,BEL,502827000000.0,4,Biodiversity,Environment,48,13.121043703,0.0
Belgium,BEL,502827000000.0,5,Geothermal-energy,Mitigation,1,0.0,0.0
Belgium,BEL,502827000000.0,6,Nature_conservation,Environment,82,13.53024679,0.0
Belgium,BEL,502827000000.0,7,Other-environment-projects,Environment,118,39.72752636,0.0
Belgium,BEL,502827000000.0,8,Sustainable-land-use,Environment,310,102.05108695,0.0
Belgium,BEL,502827000000.0,9,Marine-energy,Mitigation,1,0.166893,0.166893
Belgium,BEL,502827000000.0,10,Renewables-multiple,Mitigation,24,19.007945066,19.007945066
Belgium,BEL,502827000000.0,11,Hydro-energy,Mitigation,11,6.5556052000000005,6.5556052000000005
Belgium,BEL,502827000000.0,12,Energy-efficiency,Mitigation,7,3.6210032,3.6210032
Belgium,BEL,502827000000.0,13,Wind-energy,Mitigation,2,6.94068,6.94068
Canada,CAN,1637390000000.0,0,Adaptation,Adaptation,3328,589.6325491769994,589.6325491769994
Canada,CAN,1637390000000.0,1,Solar-energy,Mitigation,71,13.451792339999999,13.451792339999999
Canada,CAN,1637390000000.0,2,Bioenergy,Mitigation,13,0.36881094999999997,0.36881094999999997
Canada,CAN,1637390000000.0,3,Other-mitigation-projects,Mitigation,169,243.71704256700002,243.71704256700002
Canada,CAN,1637390000000.0,4,Biodiversity,Environment,90,5.389432552999999,0.0
Canada,CAN,1637390000000.0,5,Geothermal-energy,Mitigation,7,0.7723249999999997,0.7723249999999997
Canada,CAN,1637390000000.0,6,Nature_conservation,Environment,111,13.22024687,0.0
Canada,CAN,1637390000000.0,7,Other-environment-projects,Environment,1127,115.85787045799997,0.0
Canada,CAN,1637390000000.0,8,Sustainable-land-use,Environment,1188,141.18837274619997,0.0
Canada,CAN,1637390000000.0,10,Renewables-multiple,Mitigation,216,240.7882315719999,240.7882315719999
Canada,CAN,1637390000000.0,11,Hydro-energy,Mitigation,15,0.39885099999999984,0.39885099999999984
Canada,CAN,1637390000000.0,12,Energy-efficiency,Mitigation,8,0.758532,0.758532
Croatia,HRV,55570834593.0,4,Biodiversity,Environment,2,0.026647,0.0
Croatia,HRV,55570834593.0,6,Nature_conservation,Environment,4,0.0302180299999999,0.0
Croatia,HRV,55570834593.0,7,Other-environment-projects,Environment,2,0.142059,0.0
Croatia,HRV,55570834593.0,12,Energy-efficiency,Mitigation,2,0.020908,0.020908
Czech Republic,CZE,217862000000.0,0,Adaptation,Adaptation,52,2.870780169999999,2.870780169999999
Czech Republic,CZE,217862000000.0,1,Solar-energy,Mitigation,32,2.0074895499999994,2.0074895499999994
Czech Republic,CZE,217862000000.0,2,Bioenergy,Mitigation,36,2.1582496689999995,2.1582496689999995
Czech Republic,CZE,217862000000.0,3,Other-mitigation-projects,Mitigation,5,0.44838,0.44838
Czech Republic,CZE,217862000000.0,4,Biodiversity,Environment,14,0.34022286999999973,0.0
Czech Republic,CZE,217862000000.0,5,Geothermal-energy,Mitigation,16,1.4504650799999999,1.4504650799999999
Czech Republic,CZE,217862000000.0,6,Nature_conservation,Environment,46,3.112568279999999,0.0
Czech Republic,CZE,217862000000.0,7,Other-environment-projects,Environment,104,7.550364586999998,0.0
Czech Republic,CZE,217862000000.0,8,Sustainable-land-use,Environment,80,9.782459329999998,0.0
Czech Republic,CZE,217862000000.0,10,Renewables-multiple,Mitigation,11,1.07151973,1.07151973
Czech Republic,CZE,217862000000.0,11,Hydro-energy,Mitigation,26,2.3413591499999997,2.3413591499999997
Czech Republic,CZE,217862000000.0,12,Energy-efficiency,Mitigation,24,1.3010235399999999,1.3010235399999999
Czech Republic,CZE,217862000000.0,13,Wind-energy,Mitigation,3,0.0447608199999999,0.0447608199999999
Denmark,DNK,329792000000.0,0,Adaptation,Adaptation,200,201.98647515879998,201.98647515879998
Denmark,DNK,329792000000.0,1,Solar-energy,Mitigation,9,4.59729457,4.59729457
Denmark,DNK,329792000000.0,2,Bioenergy,Mitigation,15,1.6692268999999997,1.6692268999999997
Denmark,DNK,329792000000.0,3,Other-mitigation-projects,Mitigation,169,151.740152268,151.740152268
Denmark,DNK,329792000000.0,4,Biodiversity,Environment,6,0.7390496999999999,0.0
Denmark,DNK,329792000000.0,6,Nature_conservation,Environment,44,22.31736784,0.0
Denmark,DNK,329792000000.0,7,Other-environment-projects,Environment,142,72.924692269,0.0
Denmark,DNK,329792000000.0,8,Sustainable-land-use,Environment,113,112.96156392178,0.0
Denmark,DNK,329792000000.0,10,Renewables-multiple,Mitigation,140,128.31694673,128.31694673
Denmark,DNK,329792000000.0,11,Hydro-energy,Mitigation,3,8.56978,8.56978
Denmark,DNK,329792000000.0,12,Energy-efficiency,Mitigation,65,57.0368664,57.0368664
Denmark,DNK,329792000000.0,13,Wind-energy,Mitigation,50,99.34676002,99.34676002
