effective_year,DonorName,climate_class_number,climate_class,meta_category,no_projects,effective_funding,country_code,gdp
2000,Australia,0,Adaptation,Adaptation,21,3.2018524,AUS,1343450000000.0
2000,Australia,1,Solar-energy,Mitigation,2,0.00115841,AUS,1343450000000.0
2000,Australia,3,Other-mitigation-projects,Mitigation,1,0.0086881,AUS,1343450000000.0
2000,Australia,4,Biodiversity,Environment,9,0.060237479999999996,AUS,1343450000000.0
2000,Australia,6,Nature_conservation,Environment,18,1.3593978400000002,AUS,1343450000000.0
2000,Australia,7,Other-environment-projects,Environment,18,2.95974476,AUS,1343450000000.0
2000,Australia,8,Sustainable-land-use,Environment,72,6.747176569999999,AUS,1343450000000.0
2000,Australia,10,Renewables-multiple,Mitigation,10,0.8508538259999999,AUS,1343450000000.0
2000,Australia,11,Hydro-energy,Mitigation,2,0.0515492999999999,AUS,1343450000000.0
2000,Australia,13,Wind-energy,Mitigation,1,0.00173762,AUS,1343450000000.0
2000,Austria,0,Adaptation,Adaptation,4,0.3707676999999999,AUT,419437000000.0
2000,Austria,1,Solar-energy,Mitigation,2,0.0630893899999999,AUT,419437000000.0
2000,Austria,2,Bioenergy,Mitigation,1,0.0748768,AUT,419437000000.0
2000,Austria,5,Geothermal-energy,Mitigation,1,0.103809,AUT,419437000000.0
2000,Austria,6,Nature_conservation,Environment,15,0.56914349,AUT,419437000000.0
2000,Austria,7,Other-environment-projects,Environment,4,0.403651,AUT,419437000000.0
2000,Austria,8,Sustainable-land-use,Environment,14,1.1794102899999996,AUT,419437000000.0
2000,Austria,11,Hydro-energy,Mitigation,5,0.5378000999999997,AUT,419437000000.0
2000,Belgium,0,Adaptation,Adaptation,3,1.133126,BEL,502827000000.0
2000,Belgium,1,Solar-energy,Mitigation,6,2.01495568,BEL,502827000000.0
2000,Belgium,3,Other-mitigation-projects,Mitigation,1,0.0123365,BEL,502827000000.0
2000,Belgium,4,Biodiversity,Environment,3,0.1749948999999999,BEL,502827000000.0
2000,Belgium,6,Nature_conservation,Environment,7,0.5158467299999999,BEL,502827000000.0
2000,Belgium,7,Other-environment-projects,Environment,4,1.4394822,BEL,502827000000.0
2000,Belgium,8,Sustainable-land-use,Environment,27,2.833958289999999,BEL,502827000000.0
2000,Belgium,10,Renewables-multiple,Mitigation,1,0.0294704,BEL,502827000000.0
2000,Belgium,11,Hydro-energy,Mitigation,1,0.00411215,BEL,502827000000.0
2000,Belgium,12,Energy-efficiency,Mitigation,1,0.342679,BEL,502827000000.0
2000,Canada,0,Adaptation,Adaptation,14,3.0253812,CAN,1637390000000.0
2000,Canada,1,Solar-energy,Mitigation,1,0.101003,CAN,1637390000000.0
2000,Canada,2,Bioenergy,Mitigation,3,0.80263942,CAN,1637390000000.0
2000,Canada,3,Other-mitigation-projects,Mitigation,2,0.0329944,CAN,1637390000000.0
2000,Canada,4,Biodiversity,Environment,19,0.00404013,CAN,1637390000000.0
2000,Canada,6,Nature_conservation,Environment,11,4.968694,CAN,1637390000000.0
2000,Canada,7,Other-environment-projects,Environment,73,30.48279966,CAN,1637390000000.0
2000,Canada,8,Sustainable-land-use,Environment,61,11.106986054999998,CAN,1637390000000.0
2000,Canada,10,Renewables-multiple,Mitigation,2,1.0706350000000002,CAN,1637390000000.0
2000,Canada,11,Hydro-energy,Mitigation,4,2.91899,CAN,1637390000000.0
2000,Canada,12,Energy-efficiency,Mitigation,5,2.1298190000000004,CAN,1637390000000.0
2000,Denmark,1,Solar-energy,Mitigation,2,0.1566516,DNK,329792000000.0
2000,Denmark,2,Bioenergy,Mitigation,1,1.26793,DNK,329792000000.0
2000,Denmark,4,Biodiversity,Environment,2,0.8073689999999998,DNK,329792000000.0
2000,Denmark,5,Geothermal-energy,Mitigation,1,0.1421859999999999,DNK,329792000000.0
2000,Denmark,6,Nature_conservation,Environment,4,0.64502952,DNK,329792000000.0
2000,Denmark,7,Other-environment-projects,Environment,13,4.399353,DNK,329792000000.0
2000,Denmark,8,Sustainable-land-use,Environment,13,8.7396159,DNK,329792000000.0
2000,Denmark,10,Renewables-multiple,Mitigation,2,0.0908754,DNK,329792000000.0
