DonorName,country_code,gdp,climate_class_number,climate_class,meta_category,no_projects,effective_funding,climate_funding
Australia,AUS,1343450000000.0,0,Adaptation,Adaptation,238,175.75557294200001,175.75557294200001
Australia,AUS,1343450000000.0,1,Solar-energy,Mitigation,9,0.09400869999999992,0.09400869999999992
Australia,AUS,1343450000000.0,3,Other-mitigation-projects,Mitigation,25,6.45536822,6.45536822
Australia,AUS,1343450000000.0,4,Biodiversity,Environment,2,1.39816795,0.0
Australia,AUS,1343450000000.0,6,Nature_conservation,Environment,14,2.5347918499999995,0.0
Australia,AUS,1343450000000.0,7,Other-environment-projects,Environment,97,48.1104022449,0.0
Australia,AUS,1343450000000.0,8,Sustainable-land-use,Environment,29,7.2695509199999995,0.0
Australia,AUS,1343450000000.0,10,Renewables-multiple,Mitigation,27,28.4514723437,28.4514723437
Australia,AUS,1343450000000.0,11,Hydro-energy,Mitigation,16,14.7358516,14.7358516
Australia,AUS,1343450000000.0,12,Energy-efficiency,Mitigation,8,4.612059899999999,4.612059899999999
Austria,AUT,419437000000.0,0,Adaptation,Adaptation,266,56.401401053,56.401401053
Austria,AUT,419437000000.0,1,Solar-energy,Mitigation,108,14.572032829999998,14.572032829999998
Austria,AUT,419437000000.0,2,Bioenergy,Mitigation,26,2.31867502,2.31867502
Austria,AUT,419437000000.0,3,Other-mitigation-projects,Mitigation,69,29.86051141,29.86051141
Austria,AUT,419437000000.0,4,Biodiversity,Environment,16,1.31548713,0.0
Austria,AUT,419437000000.0,5,Geothermal-energy,Mitigation,2,0.02601885,0.02601885
Austria,AUT,419437000000.0,6,Nature_conservation,Environment,39,4.937855412999999,0.0
Austria,AUT,419437000000.0,7,Other-environment-projects,Environment,110,14.764416894999998,0.0
Austria,AUT,419437000000.0,8,Sustainable-land-use,Environment,311,33.70661723199999,0.0
Austria,AUT,419437000000.0,10,Renewables-multiple,Mitigation,159,50.551957197,50.551957197
Austria,AUT,419437000000.0,11,Hydro-energy,Mitigation,26,8.04492612,8.04492612
Austria,AUT,419437000000.0,12,Energy-efficiency,Mitigation,28,6.67142439,6.67142439
Austria,AUT,419437000000.0,13,Wind-energy,Mitigation,7,0.1788108799999999,0.1788108799999999
Azerbaijan,AZE,45393607318.0,6,Nature_conservation,Environment,1,0.37824,0.0
Belgium,BEL,502827000000.0,0,Adaptation,Adaptation,142,138.70180283,138.70180283
