DonorName,DonorType,country_code,gdp,Adaptation_funding,effective_funding,perc_Adaptation
Australia,bilateral donor,AUS,1343450000000.0,175.75557294200001,289.41724667060004,1.5386785825141471
Austria,bilateral donor,AUT,419437000000.0,56.401401053,223.35013442,0.4937745436537644
Azerbaijan,bilateral donor,AZE,45393607318.0,0.0,0.37824,0.0
Belgium,bilateral donor,BEL,502827000000.0,138.70180283,491.124003569,1.2142857822269435
Canada,bilateral donor,CAN,1637390000000.0,477.9715798646996,1040.5565903909376,4.1844740435682395
Croatia,bilateral donor,HRV,55570834593.0,0.4631082999999998,0.6950522999999997,0.004054351225776996
Czech Republic,bilateral donor,CZE,217862000000.0,2.780779989999999,24.07446962,0.024344756423222483
Denmark,bilateral donor,DNK,329792000000.0,142.1188793608,512.77606982158,1.2442010923633042
Estonia,bilateral donor,EST,27207705195.0,0.3185591699999999,2.9343903449999993,0.0027888741388828546
Finland,bilateral donor,FIN,254965000000.0,45.45331140899999,359.7803289648,0.3979278471724707
France,bilateral donor,FRA,2601610000000.0,1065.4378633759998,5400.244692007594,9.327535929215069
Germany,bilateral donor,DEU,3657660000000.0,2630.1443839499984,15199.788590639999,23.025994366842838
Greece,bilateral donor,GRC,204678000000.0,0.0,2.8166553209999994,0.0
Hungary,bilateral donor,HUN,142480000000.0,0.35135060699999965,3.325808329999999,0.003075951703236459
Iceland,bilateral donor,ISL,22484254300.0,2.037466069999999,28.915627919999995,0.017837302977259398
Ireland,bilateral donor,IRL,339812000000.0,57.710916229999995,82.20113866499999,0.5052388911142688
Italy,bilateral donor,ITA,1952100000000.0,161.43335077270004,436.98639066009997,1.4132925356478916
Japan,bilateral donor,JPN,4843090000000.0,666.4104277,4689.48192944,5.834190262657932
Kazakhstan,bilateral donor,KAZ,169595000000.0,0.534177,2.6379371499999995,0.004676532842818579
Korea,bilateral donor,KOR,1590550000000.0,112.95307699999998,610.6556403999999,0.988864691456045
Kuwait,bilateral donor,KWT,124020000000.0,0.3022289999999999,84.6029881,0.002645909210902409
Latvia,bilateral donor,LVA,30705648646.0,0.0,0.12051115,0.0
Lithuania,bilateral donor,LTU,47967952561.0,0.576217414,2.318868040899998,0.0050445819666046846
Luxembourg,bilateral donor,LUX,64928552649.0,10.4665805,67.490468557,0.09163125230074397
Netherlands,bilateral donor,NLD,841168000000.0,157.95214858999998,729.2201210000001,1.382815827852744
New Zealand,bilateral donor,NZL,197192000000.0,42.27396977,118.33952704,0.37009382288216225
Norway,bilateral donor,NOR,398104000000.0,439.73184572000014,2316.053027631575,3.8496985428852484
Poland,bilateral donor,POL,531055000000.0,57.933451276,64.02176006399999,0.5071871076254574
Portugal,bilateral donor,PRT,221184000000.0,5.455680866799999,20.471338904799996,0.0477625782344188
Romania,bilateral donor,ROU,213957000000.0,0.2269252599999998,1.5021628479999998,0.0019866512995788746
Saudi Arabia,bilateral donor,SAU,713456000000.0,2.975,51.138281,0.026045084695494707
Slovak Republic,bilateral donor,SVK,96964347911.0,0.2686799999999997,2.963299999999999,0.002352199447390087
Slovenia,bilateral donor,SVN,48815980157.0,0.0129601,0.1392729889999999,0.00011346114358389274
Spain,bilateral donor,ESP,1310720000000.0,91.2865274199999,229.30594335759986,0.7991816262895788
Sweden,bilateral donor,SWE,529613000000.0,486.758333475,1371.5128105321999,4.261398998855203
Switzerland,bilateral donor,CHE,687863000000.0,366.65170648595307,1060.8120930911132,3.2099074787140545
Turkey,bilateral donor,TUR,820392000000.0,0.0,0.15699000000000002,0.0
United Arab Emirates,bilateral donor,ARE,388829000000.0,10.413360199999998,210.02939304,0.09116532718443482
United Kingdom,bilateral donor,GBR,2795380000000.0,2730.90647871926,5670.59412613886,23.908131271838094
United States,bilateral donor,USA,19663100000000.0,1281.330668,4661.143256,11.217601939830187
