DonorName,climate_funding,climate finance (including nature),environment_funding,mitigation_funding,adaptation_funding,effective_funding
Australia,0.0,1.39816795,1.39816795,0.0,0.0,1.39816795
Australia,0.0,2.5347918499999995,2.5347918499999995,0.0,0.0,2.5347918499999995
Australia,0.0,7.2695509199999995,7.2695509199999995,0.0,0.0,7.2695509199999995
Australia,0.0,48.1104022449,48.1104022449,0.0,0.0,48.1104022449
Australia,0.09400869999999992,0.09400869999999992,0.0,0.09400869999999992,0.0,0.09400869999999992
Australia,4.612059899999999,4.612059899999999,0.0,4.612059899999999,0.0,4.612059899999999
Australia,6.45536822,6.45536822,0.0,6.45536822,0.0,6.45536822
Australia,14.7358516,14.7358516,0.0,14.7358516,0.0,14.7358516
Australia,28.4514723437,28.4514723437,0.0,28.4514723437,0.0,28.4514723437
Australia,175.75557294200001,175.75557294200001,0.0,0.0,175.75557294200001,175.75557294200001
Austria,0.0,1.31548713,1.31548713,0.0,0.0,1.31548713
Austria,0.0,4.937855412999999,4.937855412999999,0.0,0.0,4.937855412999999
Austria,0.0,14.764416894999998,14.764416894999998,0.0,0.0,14.764416894999998
Austria,0.0,33.70661723199999,33.70661723199999,0.0,0.0,33.70661723199999
Austria,0.02601885,0.02601885,0.0,0.02601885,0.0,0.02601885
Austria,0.1788108799999999,0.1788108799999999,0.0,0.1788108799999999,0.0,0.1788108799999999
Austria,2.31867502,2.31867502,0.0,2.31867502,0.0,2.31867502
Austria,6.67142439,6.67142439,0.0,6.67142439,0.0,6.67142439
Austria,8.04492612,8.04492612,0.0,8.04492612,0.0,8.04492612
Austria,14.572032829999998,14.572032829999998,0.0,14.572032829999998,0.0,14.572032829999998
Austria,29.86051141,29.86051141,0.0,29.86051141,0.0,29.86051141
Austria,50.551957197,50.551957197,0.0,50.551957197,0.0,50.551957197
Austria,56.401401053,56.401401053,0.0,0.0,56.401401053,56.401401053
Azerbaijan,0.0,0.37824,0.37824,0.0,0.0,0.37824
Belgium,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,0.0,2.83885062,2.83885062,0.0,0.0,2.83885062
Belgium,0.0,10.383558602999999,10.383558602999999,0.0,0.0,10.383558602999999
Belgium,0.0,39.90917582,39.90917582,0.0,0.0,39.90917582
Belgium,0.0,138.40234153,138.40234153,0.0,0.0,138.40234153
Belgium,0.1129109999999999,0.1129109999999999,0.0,0.1129109999999999,0.0,0.1129109999999999
Belgium,0.6667737999999999,0.6667737999999999,0.0,0.6667737999999999,0.0,0.6667737999999999
Belgium,2.1326994,2.1326994,0.0,2.1326994,0.0,2.1326994
Belgium,3.5955988999999997,3.5955988999999997,0.0,3.5955988999999997,0.0,3.5955988999999997
Belgium,5.914305000000001,5.914305000000001,0.0,5.914305000000001,0.0,5.914305000000001
Belgium,8.075623366,8.075623366,0.0,8.075623366,0.0,8.075623366
Belgium,138.70180283,138.70180283,0.0,0.0,138.70180283,138.70180283
Belgium,140.3903627,140.3903627,0.0,140.3903627,0.0,140.3903627
Canada,0.0,5.673631902,5.673631902,0.0,0.0,5.673631902
Canada,0.0,6.2689062,6.2689062,0.0,0.0,6.2689062
Canada,0.0,58.934306413358,58.934306413358,0.0,0.0,58.934306413358
Canada,0.0,89.83932548748,89.83932548748,0.0,0.0,89.83932548748
Canada,0.054775500000000005,0.054775500000000005,0.0,0.054775500000000005,0.0,0.054775500000000005
Canada,0.20644690000000002,0.20644690000000002,0.0,0.20644690000000002,0.0,0.20644690000000002
Canada,0.758532,0.758532,0.0,0.758532,0.0,0.758532
Canada,7.686273389999998,7.686273389999998,0.0,7.686273389999998,0.0,7.686273389999998
Canada,164.4465823419999,164.4465823419999,0.0,164.4465823419999,0.0,164.4465823419999
Canada,228.71623039140002,228.71623039140002,0.0,228.71623039140002,0.0,228.71623039140002
Canada,477.9715798646996,477.9715798646996,0.0,0.0,477.9715798646996,477.9715798646996
Croatia,0.0,0.00237,0.00237,0.0,0.0,0.00237
Croatia,0.0,0.026647,0.026647,0.0,0.0,0.026647
Croatia,0.0,0.0278019999999999,0.0278019999999999,0.0,0.0,0.0278019999999999
Croatia,0.0,0.154217,0.154217,0.0,0.0,0.154217
Croatia,0.020908,0.020908,0.0,0.020908,0.0,0.020908
Croatia,0.4631082999999998,0.4631082999999998,0.0,0.0,0.4631082999999998,0.4631082999999998
Czech Republic,0.0,0.3753325899999998,0.3753325899999998,0.0,0.0,0.3753325899999998
Czech Republic,0.0,1.2675986499999996,1.2675986499999996,0.0,0.0,1.2675986499999996
Czech Republic,0.0,5.19942629,5.19942629,0.0,0.0,5.19942629
Czech Republic,0.0,9.864803479999999,9.864803479999999,0.0,0.0,9.864803479999999
Czech Republic,0.0346571999999999,0.0346571999999999,0.0,0.0346571999999999,0.0,0.0346571999999999
Czech Republic,0.04115436,0.04115436,0.0,0.04115436,0.0,0.04115436
Czech Republic,0.0594329,0.0594329,0.0,0.0594329,0.0,0.0594329
Czech Republic,0.1690677199999998,0.1690677199999998,0.0,0.1690677199999998,0.0,0.1690677199999998
Czech Republic,0.49398997999999994,0.49398997999999994,0.0,0.49398997999999994,0.0,0.49398997999999994
Czech Republic,0.6654243599999996,0.6654243599999996,0.0,0.6654243599999996,0.0,0.6654243599999996
Czech Republic,1.4526589699999999,1.4526589699999999,0.0,1.4526589699999999,0.0,1.4526589699999999
Czech Republic,1.6701431299999996,1.6701431299999996,0.0,1.6701431299999996,0.0,1.6701431299999996
Czech Republic,2.780779989999999,2.780779989999999,0.0,0.0,2.780779989999999,2.780779989999999
Denmark,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,0.0,2.0430515999999996,2.0430515999999996,0.0,0.0,2.0430515999999996
Denmark,0.0,6.962943330000001,6.962943330000001,0.0,0.0,6.962943330000001
Denmark,0.0,32.456299209,32.456299209,0.0,0.0,32.456299209
Denmark,0.0,114.65635629177999,114.65635629177999,0.0,0.0,114.65635629177999
Denmark,0.5118186999999998,0.5118186999999998,0.0,0.5118186999999998,0.0,0.5118186999999998
Denmark,4.22602933,4.22602933,0.0,4.22602933,0.0,4.22602933
