DonorName,DonorType,country_code,gdp,Mitigation_funding,effective_funding,perc_Mitigation
Australia,bilateral donor,AUS,1343450000000.0,54.34876076370001,289.41724667060004,0.2878077099497666
Austria,bilateral donor,AUT,419437000000.0,112.22435669699999,223.35013442,0.5942920252033074
Azerbaijan,bilateral donor,AZE,45393607318.0,0.0,0.37824,0.0
Belgium,bilateral donor,BEL,502827000000.0,160.888274166,491.124003569,0.851995245058358
Canada,bilateral donor,CAN,1637390000000.0,401.86884052339997,1040.5565903909376,2.1281248931154773
Croatia,bilateral donor,HRV,55570834593.0,0.020908,0.6950522999999997,0.00011071979406840217
Czech Republic,bilateral donor,CZE,217862000000.0,4.586528619999999,24.07446962,0.024288286985614728
Denmark,bilateral donor,DNK,329792000000.0,214.53854003,512.77606982158,1.1361040258206072
Estonia,bilateral donor,EST,27207705195.0,1.5413178599999997,2.9343903449999993,0.008162157836863896
Finland,bilateral donor,FIN,254965000000.0,182.76816186700003,359.7803289648,0.9678617392469218
France,bilateral donor,FRA,2601610000000.0,2657.6603416831945,5400.244692007594,14.07382847402538
Germany,bilateral donor,DEU,3657660000000.0,7552.970156089999,15199.788590639999,39.997288133110395
Greece,bilateral donor,GRC,204678000000.0,0.0,2.8166553209999994,0.0
Hungary,bilateral donor,HUN,142480000000.0,1.8266729289999997,3.325808329999999,0.009673275804917017
Iceland,bilateral donor,ISL,22484254300.0,19.037763249999998,28.915627919999995,0.10081582296551533
Ireland,bilateral donor,IRL,339812000000.0,7.077300504999999,82.20113866499999,0.03747834582331158
Italy,bilateral donor,ITA,1952100000000.0,97.25437573239999,436.98639066009997,0.5150174312867006
Japan,bilateral donor,JPN,4843090000000.0,1703.3275505000001,4689.48192944,9.020091621503536
Kazakhstan,bilateral donor,KAZ,169595000000.0,0.0,2.6379371499999995,0.0
Korea,bilateral donor,KOR,1590550000000.0,278.6031874,610.6556403999999,1.4753629010775045
Kuwait,bilateral donor,KWT,124020000000.0,83.7448507,84.6029881,0.44347678514411165
Latvia,bilateral donor,LVA,30705648646.0,0.00368297,0.12051115,1.9503428350875413e-05
Lithuania,bilateral donor,LTU,47967952561.0,1.2677275839999995,2.318868040899998,0.006713341162966948
Luxembourg,bilateral donor,LUX,64928552649.0,5.789979370000001,67.490468557,0.030661245624005025
Netherlands,bilateral donor,NLD,841168000000.0,159.99844316000002,729.2201210000001,0.8472830819753278
New Zealand,bilateral donor,NZL,197192000000.0,63.425260519999995,118.33952704,0.3358729569307996
Norway,bilateral donor,NOR,398104000000.0,887.8825137595749,2316.053027631575,4.701844704438272
Poland,bilateral donor,POL,531055000000.0,3.77002112,64.02176006399999,0.01996441371914707
Portugal,bilateral donor,PRT,221184000000.0,5.50089864,20.471338904799996,0.029130398154388445
Romania,bilateral donor,ROU,213957000000.0,0.49037910000000007,1.5021628479999998,0.0025968372377773294
Saudi Arabia,bilateral donor,SAU,713456000000.0,42.915579,51.138281,0.22726248657003278
Slovak Republic,bilateral donor,SVK,96964347911.0,0.8027799999999998,2.963299999999999,0.004251178318453792
Slovenia,bilateral donor,SVN,48815980157.0,0.0,0.1392729889999999,0.0
Spain,bilateral donor,ESP,1310720000000.0,32.01134014979999,229.30594335759986,0.16951831783238136
Sweden,bilateral donor,SWE,529613000000.0,301.4398948276,1371.5128105321999,1.5962963018611387
Switzerland,bilateral donor,CHE,687863000000.0,268.70324344146,1060.8120930911132,1.4229370470322455
Turkey,bilateral donor,TUR,820392000000.0,0.13858,0.15699000000000002,0.0007338602000190919
United Arab Emirates,bilateral donor,ARE,388829000000.0,190.59358220000001,210.02939304,1.0093018065784907
United Kingdom,bilateral donor,GBR,2795380000000.0,1901.529823468,5670.59412613886,10.069685788659942
United States,bilateral donor,USA,19663100000000.0,1483.1540260000004,4661.143256,7.854147136523898
