,DonorName,climate_finance,climate_env,adaptation,mitigation,rio_clim_prin,rio_adap_prin,rio_miti_prin,rio_clim_all,rio_adap_all,rio_miti_all
0,Australia, 230 , 289 , 176 , 54 , 124 , 95 , 97 ," 1,569 "," 1,516 "," 1,180 "
1,Austria, 169 , 223 , 56 , 112 , 108 , 39 , 77 , 250 , 141 , 183 
3,Belgium, 300 , 491 , 139 , 161 , 169 , 96 , 94 ," 1,225 "," 1,018 ", 732 
5,Canada, 880 ," 1,041 ", 478 , 402 , 711 , 548 , 615 ," 1,468 "," 1,202 ", 968 
9,Czech Republic, 7 , 24 , 3 , 5 , 9 , 4 , 5 , 25 , 18 , 10 
10,Denmark, 357 , 513 , 142 , 215 , 352 , 107 , 324 ," 1,233 ", 910 , 936 
11,Estonia, 2 , 3 , 0 , 2 , -   , -   , -   , -   , -   , -   
12,Finland, 228 , 360 , 45 , 183 , 199 , 25 , 174 , 534 , 402 , 384 
13,France," 3,723 "," 5,400 "," 1,065 "," 2,658 "," 5,115 "," 1,577 "," 4,066 "," 7,726 "," 3,139 "," 6,132 "
14,Germany," 10,183 "," 15,200 "," 2,630 "," 7,553 "," 9,945 "," 1,526 "," 8,419 "," 20,702 "," 9,565 "," 15,297 "
16,Hungary, 2 , 3 , 0 , 2 , 1 , 0 , 0 , 2 , 2 , 0 
17,Iceland, 21 , 29 , 2 , 19 , 14 , 5 , 9 , 48 , 39 , 25 
18,Ireland, 65 , 82 , 58 , 7 , 154 , 150 , 42 , 360 , 354 , 160 
20,Italy, 259 , 437 , 161 , 97 , 215 , 142 , 152 , 655 , 557 , 571 
21,Japan," 2,370 "," 4,689 ", 666 ," 1,703 "," 10,459 ", 938 ," 9,898 "," 19,397 "," 4,070 "," 16,191 "
22,Kazakhstan, 1 , 3 , 1 , -   , -   , -   , -   , -   , -   , -   
23,Korea, 392 , 611 , 113 , 279 , 223 , 210 , 55 , 551 , 505 , 234 
25,Latvia, 0 , 0 , -   , 0 , 0 , -   , 0 , 0 , 0 , 0 
27,Lithuania, 2 , 2 , 1 , 1 , 0 , 0 , 0 , 2 , 1 , 2 
28,Luxembourg, 16 , 67 , 10 , 6 , 21 , 11 , 12 , 113 , 85 , 75 
30,Netherlands, 318 , 729 , 158 , 160 , 526 , 277 , 328 ," 3,010 "," 2,769 "," 1,240 "
31,New Zealand, 106 , 118 , 42 , 63 , 68 , 34 , 44 , 207 , 174 , 113 
32,Norway," 1,328 "," 2,316 ", 440 , 888 ," 1,629 ", 233 ," 1,435 "," 2,161 ", 514 ," 1,895 "
33,Poland, 62 , 64 , 58 , 4 , 65 , 60 , 5 , 75 , 69 , 8 
34,Portugal, 11 , 20 , 5 , 6 , 8 , 4 , 4 , 18 , 13 , 8 
35,Qatar, 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   
36,Romania, 1 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
39,Slovak Republic, 1 , 3 , 0 , 1 , 0 , 0 , 0 , 2 , 2 , 2 
40,Slovenia, 0 , 0 , 0 , -   , 2 , 0 , 2 , 11 , 9 , 9 
41,Spain, 123 , 229 , 91 , 32 , 148 , 112 , 80 , 425 , 374 , 221 
42,Sweden, 788 ," 1,372 ", 487 , 301 , 885 , 624 , 472 ," 3,302 "," 2,771 "," 2,053 "
43,Switzerland, 635 ," 1,061 ", 367 , 269 , 436 , 232 , 242 ," 1,491 "," 1,100 ", 799 
46,United Arab Emirates, 201 , 210 , 10 , 191 , 120 , 49 , 71 , 373 , 294 , 246 
47,United Kingdom," 4,632 "," 5,671 "," 2,731 "," 1,902 "," 2,528 "," 1,069 "," 1,550 "," 12,968 "," 7,799 "," 8,003 "
48,United States," 2,764 "," 4,661 "," 1,281 "," 1,483 "," 4,019 "," 2,461 "," 3,725 "," 4,969 "," 3,584 "," 4,120 "
,," 30,176 ",,,,,,,,,
