RecipientName,country_code,country_type,gdp,climate_class_number,climate_class,meta_category,no_projects,effective_funding,climate_funding
Afghanistan,AFG,LDCs,19609450491.0,0,Adaptation,Adaptation,6,0.43372789999999994,0.43372789999999994
Afghanistan,AFG,LDCs,19609450491.0,1,Solar-energy,Mitigation,11,17.4948193,17.4948193
Afghanistan,AFG,LDCs,19609450491.0,4,Biodiversity,Environment,20,15.699465,0.0
Afghanistan,AFG,LDCs,19609450491.0,6,Nature_conservation,Environment,10,1.5407452,0.0
Afghanistan,AFG,LDCs,19609450491.0,7,Other-environment-projects,Environment,22,59.50264672,0.0
Afghanistan,AFG,LDCs,19609450491.0,8,Sustainable-land-use,Environment,36,18.28249229,0.0
Afghanistan,AFG,LDCs,19609450491.0,10,Renewables-multiple,Mitigation,24,13.70995986,13.70995986
Afghanistan,AFG,LDCs,19609450491.0,11,Hydro-energy,Mitigation,28,31.8624584,31.8624584
Afghanistan,AFG,LDCs,19609450491.0,12,Energy-efficiency,Mitigation,34,235.8052156,235.8052156
Afghanistan,AFG,LDCs,19609450491.0,13,Wind-energy,Mitigation,4,0.0576951,0.0576951
Albania,ALB,UMICs,13338567710.0,0,Adaptation,Adaptation,4,1.4351680999999998,1.4351680999999998
Albania,ALB,UMICs,13338567710.0,1,Solar-energy,Mitigation,5,0.4476421,0.4476421
Albania,ALB,UMICs,13338567710.0,3,Other-mitigation-projects,Mitigation,2,0.01997633,0.01997633
Albania,ALB,UMICs,13338567710.0,4,Biodiversity,Environment,12,0.7446461399999997,0.0
Albania,ALB,UMICs,13338567710.0,6,Nature_conservation,Environment,29,3.6049746099999997,0.0
Albania,ALB,UMICs,13338567710.0,7,Other-environment-projects,Environment,69,11.86671299,0.0
Albania,ALB,UMICs,13338567710.0,8,Sustainable-land-use,Environment,26,3.3024575099999995,0.0
Albania,ALB,UMICs,13338567710.0,10,Renewables-multiple,Mitigation,10,2.7743497,2.7743497
Albania,ALB,UMICs,13338567710.0,11,Hydro-energy,Mitigation,29,8.687369148,8.687369148
Albania,ALB,UMICs,13338567710.0,12,Energy-efficiency,Mitigation,12,1.62127747,1.62127747
