RecipientName,country_code,country_type,gdp,climate_class_number,climate_class,meta_category,no_projects,effective_funding,climate_funding
Afghanistan,AFG,LDCs,19609450491.0,0,Adaptation,Adaptation,99,113.16573979999998,113.16573979999998
Afghanistan,AFG,LDCs,19609450491.0,1,Solar-energy,Mitigation,8,10.20528775,10.20528775
Afghanistan,AFG,LDCs,19609450491.0,3,Other-mitigation-projects,Mitigation,6,0.005148,0.005148
Afghanistan,AFG,LDCs,19609450491.0,4,Biodiversity,Environment,4,0.591128,0.0
Afghanistan,AFG,LDCs,19609450491.0,6,Nature_conservation,Environment,5,2.7991900000000003,0.0
Afghanistan,AFG,LDCs,19609450491.0,7,Other-environment-projects,Environment,24,29.0277075,0.0
Afghanistan,AFG,LDCs,19609450491.0,8,Sustainable-land-use,Environment,74,73.48563909100001,0.0
Afghanistan,AFG,LDCs,19609450491.0,10,Renewables-multiple,Mitigation,19,36.4808572,36.4808572
Afghanistan,AFG,LDCs,19609450491.0,11,Hydro-energy,Mitigation,8,25.2840558,25.2840558
Afghanistan,AFG,LDCs,19609450491.0,12,Energy-efficiency,Mitigation,11,0.488077,0.488077
Afghanistan,AFG,LDCs,19609450491.0,13,Wind-energy,Mitigation,1,0.0,0.0
Albania,ALB,UMICs,13338567710.0,0,Adaptation,Adaptation,14,1.17099132,1.17099132
Albania,ALB,UMICs,13338567710.0,1,Solar-energy,Mitigation,2,0.0794718,0.0794718
Albania,ALB,UMICs,13338567710.0,2,Bioenergy,Mitigation,3,0.0293272,0.0293272
Albania,ALB,UMICs,13338567710.0,3,Other-mitigation-projects,Mitigation,3,0.0653760999999999,0.0653760999999999
Albania,ALB,UMICs,13338567710.0,4,Biodiversity,Environment,10,3.3872517499999995,0.0
Albania,ALB,UMICs,13338567710.0,6,Nature_conservation,Environment,28,2.034616882,0.0
Albania,ALB,UMICs,13338567710.0,7,Other-environment-projects,Environment,55,11.049395212999999,0.0
Albania,ALB,UMICs,13338567710.0,8,Sustainable-land-use,Environment,30,12.8825941,0.0
Albania,ALB,UMICs,13338567710.0,10,Renewables-multiple,Mitigation,9,4.9234436399999995,4.9234436399999995
