RecipientName,climate_funding,climate finance (including nature),environment_funding,mitigation_funding,adaptation_funding,effective_funding
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,0.0,0.591128,0.591128,0.0,0.0,0.591128
Afghanistan,0.0,2.7991900000000003,2.7991900000000003,0.0,0.0,2.7991900000000003
Afghanistan,0.0,29.0277075,29.0277075,0.0,0.0,29.0277075
Afghanistan,0.0,73.48563909100001,73.48563909100001,0.0,0.0,73.48563909100001
Afghanistan,0.005148,0.005148,0.0,0.005148,0.0,0.005148
Afghanistan,0.488077,0.488077,0.0,0.488077,0.0,0.488077
Afghanistan,10.20528775,10.20528775,0.0,10.20528775,0.0,10.20528775
Afghanistan,25.2840558,25.2840558,0.0,25.2840558,0.0,25.2840558
Afghanistan,36.4808572,36.4808572,0.0,36.4808572,0.0,36.4808572
Afghanistan,113.16573979999998,113.16573979999998,0.0,0.0,113.16573979999998,113.16573979999998
Albania,0.0,2.034616882,2.034616882,0.0,0.0,2.034616882
Albania,0.0,3.3872517499999995,3.3872517499999995,0.0,0.0,3.3872517499999995
Albania,0.0,11.049395212999999,11.049395212999999,0.0,0.0,11.049395212999999
Albania,0.0,12.8825941,12.8825941,0.0,0.0,12.8825941
Albania,0.0293272,0.0293272,0.0,0.0293272,0.0,0.0293272
Albania,0.0653760999999999,0.0653760999999999,0.0,0.0653760999999999,0.0,0.0653760999999999
Albania,0.0794718,0.0794718,0.0,0.0794718,0.0,0.0794718
Albania,1.17099132,1.17099132,0.0,0.0,1.17099132,1.17099132
Albania,1.8715533199999999,1.8715533199999999,0.0,1.8715533199999999,0.0,1.8715533199999999
Albania,4.9234436399999995,4.9234436399999995,0.0,4.9234436399999995,0.0,4.9234436399999995
Albania,5.764672,5.764672,0.0,5.764672,0.0,5.764672
Algeria,0.0,0.00676361,0.00676361,0.0,0.0,0.00676361
Algeria,0.0,0.214094,0.214094,0.0,0.0,0.214094
Algeria,0.0,6.1064281099999995,6.1064281099999995,0.0,0.0,6.1064281099999995
Algeria,0.0,6.275717480000001,6.275717480000001,0.0,0.0,6.275717480000001
Algeria,0.0007901939999999,0.0007901939999999,0.0,0.0007901939999999,0.0,0.0007901939999999
Algeria,0.00338181,0.00338181,0.0,0.00338181,0.0,0.00338181
Algeria,0.0368297,0.0368297,0.0,0.0368297,0.0,0.0368297
Algeria,0.058122499999999994,0.058122499999999994,0.0,0.058122499999999994,0.0,0.058122499999999994
Algeria,0.28408043,0.28408043,0.0,0.28408043,0.0,0.28408043
Algeria,6.258238800000001,6.258238800000001,0.0,0.0,6.258238800000001,6.258238800000001
Angola,0.0,0.561967,0.561967,0.0,0.0,0.561967
Angola,0.0,0.6955626899999998,0.6955626899999998,0.0,0.0,0.6955626899999998
Angola,0.0,1.1115681,1.1115681,0.0,0.0,1.1115681
Angola,0.00968492,0.00968492,0.0,0.00968492,0.0,0.00968492
Angola,0.31765979999999994,0.31765979999999994,0.0,0.31765979999999994,0.0,0.31765979999999994
Angola,1.34156162,1.34156162,0.0,1.34156162,0.0,1.34156162
Angola,2.931962402799999,2.931962402799999,0.0,0.0,2.931962402799999,2.931962402799999
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0902927,0.0902927,0.0,0.0,0.0902927
Antigua and Barbuda,0.0,0.2064619999999996,0.2064619999999996,0.0,0.0,0.2064619999999996
Antigua and Barbuda,1.248519,1.248519,0.0,1.248519,0.0,1.248519
Antigua and Barbuda,9.738228750000001,9.738228750000001,0.0,9.738228750000001,0.0,9.738228750000001
Argentina,0.0,0.75238321,0.75238321,0.0,0.0,0.75238321
Argentina,0.0,1.2911308799999999,1.2911308799999999,0.0,0.0,1.2911308799999999
Argentina,0.0,3.9147441399999994,3.9147441399999994,0.0,0.0,3.9147441399999994
Argentina,0.0,4.632780557999999,4.632780557999999,0.0,0.0,4.632780557999999
Argentina,0.033941,0.033941,0.0,0.033941,0.0,0.033941
Argentina,0.0924053,0.0924053,0.0,0.0924053,0.0,0.0924053
Argentina,0.1364117,0.1364117,0.0,0.1364117,0.0,0.1364117
Argentina,0.1424572699999998,0.1424572699999998,0.0,0.1424572699999998,0.0,0.1424572699999998
Argentina,0.34474744,0.34474744,0.0,0.34474744,0.0,0.34474744
Argentina,0.38406,0.38406,0.0,0.38406,0.0,0.38406
Argentina,4.072414801999999,4.072414801999999,0.0,0.0,4.072414801999999,4.072414801999999
Armenia,0.0,0.7133505,0.7133505,0.0,0.0,0.7133505
Armenia,0.0,0.7941623199999998,0.7941623199999998,0.0,0.0,0.7941623199999998
Armenia,0.0,19.751234540000002,19.751234540000002,0.0,0.0,19.751234540000002
Armenia,0.0,50.50940183000001,50.50940183000001,0.0,0.0,50.50940183000001
Armenia,0.0182472,0.0182472,0.0,0.0182472,0.0,0.0182472
Armenia,0.27694865999999996,0.27694865999999996,0.0,0.27694865999999996,0.0,0.27694865999999996
Armenia,0.492537,0.492537,0.0,0.492537,0.0,0.492537
Armenia,1.3214651999999998,1.3214651999999998,0.0,0.0,1.3214651999999998,1.3214651999999998
Armenia,30.880309999999998,30.880309999999998,0.0,30.880309999999998,0.0,30.880309999999998
Armenia,37.5445048,37.5445048,0.0,37.5445048,0.0,37.5445048
Armenia,48.32575663000001,48.32575663000001,0.0,48.32575663000001,0.0,48.32575663000001
Azerbaijan,0.0,0.0857761999999998,0.0857761999999998,0.0,0.0,0.0857761999999998
Azerbaijan,0.0,0.09343699999999999,0.09343699999999999,0.0,0.0,0.09343699999999999
Azerbaijan,0.0,0.1137638,0.1137638,0.0,0.0,0.1137638
Azerbaijan,0.0,0.5222,0.5222,0.0,0.0,0.5222
Azerbaijan,0.00483033,0.00483033,0.0,0.00483033,0.0,0.00483033
Azerbaijan,3.5267094,3.5267094,0.0,0.0,3.5267094,3.5267094
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,0.0,3.760333598,3.760333598,0.0,0.0,3.760333598
Bangladesh,0.0,16.22016113,16.22016113,0.0,0.0,16.22016113
Bangladesh,0.0,35.63239783,35.63239783,0.0,0.0,35.63239783
Bangladesh,0.0,83.647220245,83.647220245,0.0,0.0,83.647220245
Bangladesh,0.0113301,0.0113301,0.0,0.0113301,0.0,0.0113301
Bangladesh,5.4730799999999995,5.4730799999999995,0.0,5.4730799999999995,0.0,5.4730799999999995
Bangladesh,10.1198169,10.1198169,0.0,10.1198169,0.0,10.1198169
Bangladesh,10.99871686,10.99871686,0.0,10.99871686,0.0,10.99871686
Bangladesh,41.588516979999994,41.588516979999994,0.0,41.588516979999994,0.0,41.588516979999994
Bangladesh,210.6865387418,210.6865387418,0.0,0.0,210.6865387418,210.6865387418
Bangladesh,298.41445840000006,298.41445840000006,0.0,298.41445840000006,0.0,298.41445840000006
Belarus,0.0,0.07253789,0.07253789,0.0,0.0,0.07253789
Belarus,0.0,0.2983166449999996,0.2983166449999996,0.0,0.0,0.2983166449999996
Belarus,0.0,1.700864984,1.700864984,0.0,0.0,1.700864984
Belarus,0.0,2.5927084249999997,2.5927084249999997,0.0,0.0,2.5927084249999997
Belarus,0.000951012,0.000951012,0.0,0.000951012,0.0,0.000951012
Belarus,0.00651222,0.00651222,0.0,0.00651222,0.0,0.00651222
Belarus,0.0824642499999999,0.0824642499999999,0.0,0.0,0.0824642499999999,0.0824642499999999
Belarus,0.21077114000000002,0.21077114000000002,0.0,0.21077114000000002,0.0,0.21077114000000002
Belarus,0.51733088,0.51733088,0.0,0.51733088,0.0,0.51733088
Belarus,0.92712389,0.92712389,0.0,0.92712389,0.0,0.92712389
Belize,0.0,0.008753,0.008753,0.0,0.0,0.008753
Belize,0.0,0.18499166999999972,0.18499166999999972,0.0,0.0,0.18499166999999972
Belize,0.0,0.3262198999999999,0.3262198999999999,0.0,0.0,0.3262198999999999
Belize,0.0,0.47078277,0.47078277,0.0,0.0,0.47078277
Belize,0.15209340000000002,0.15209340000000002,0.0,0.15209340000000002,0.0,0.15209340000000002
Belize,0.6454880000000001,0.6454880000000001,0.0,0.6454880000000001,0.0,0.6454880000000001
Belize,0.7175140599999996,0.7175140599999996,0.0,0.0,0.7175140599999996,0.7175140599999996
Belize,1.7768970599999998,1.7768970599999998,0.0,1.7768970599999998,0.0,1.7768970599999998
Benin,0.0,0.0,0.0,0.0,0.0,0.0
Benin,0.0,7.783164901989999,7.783164901989999,0.0,0.0,7.783164901989999
Benin,0.0,8.337958270000001,8.337958270000001,0.0,0.0,8.337958270000001
Benin,0.0,11.584139079999998,11.584139079999998,0.0,0.0,11.584139079999998
Benin,0.01250911,0.01250911,0.0,0.01250911,0.0,0.01250911
Benin,0.1199307,0.1199307,0.0,0.1199307,0.0,0.1199307
Benin,0.8218852999999998,0.8218852999999998,0.0,0.8218852999999998,0.0,0.8218852999999998
Benin,3.1786877,3.1786877,0.0,3.1786877,0.0,3.1786877
Benin,3.5002443000000003,3.5002443000000003,0.0,3.5002443000000003,0.0,3.5002443000000003
Benin,13.759524509999999,13.759524509999999,0.0,0.0,13.759524509999999,13.759524509999999
Benin,14.802368419999999,14.802368419999999,0.0,14.802368419999999,0.0,14.802368419999999
Bhutan,0.0,0.00436411,0.00436411,0.0,0.0,0.00436411
Bhutan,0.0,0.3207315,0.3207315,0.0,0.0,0.3207315
Bhutan,0.0,1.4465704899999996,1.4465704899999996,0.0,0.0,1.4465704899999996
Bhutan,0.0,1.5732918699999996,1.5732918699999996,0.0,0.0,1.5732918699999996
Bhutan,0.0144487,0.0144487,0.0,0.0144487,0.0,0.0144487
Bhutan,0.09264476669999999,0.09264476669999999,0.0,0.09264476669999999,0.0,0.09264476669999999
Bhutan,0.667254,0.667254,0.0,0.667254,0.0,0.667254
Bhutan,1.5249873699999996,1.5249873699999996,0.0,0.0,1.5249873699999996,1.5249873699999996
Bhutan,1.822239,1.822239,0.0,1.822239,0.0,1.822239
Bolivia,0.0,0.63203842,0.63203842,0.0,0.0,0.63203842
Bolivia,0.0,1.0212994629999992,1.0212994629999992,0.0,0.0,1.0212994629999992
Bolivia,0.0,24.727513839,24.727513839,0.0,0.0,24.727513839
Bolivia,0.0,64.16221518299999,64.16221518299999,0.0,0.0,64.16221518299999
Bolivia,0.0442331,0.0442331,0.0,0.0442331,0.0,0.0442331
Bolivia,0.16883489999999998,0.16883489999999998,0.0,0.16883489999999998,0.0,0.16883489999999998
Bolivia,0.4023767499999999,0.4023767499999999,0.0,0.4023767499999999,0.0,0.4023767499999999
Bolivia,1.51470388,1.51470388,0.0,1.51470388,0.0,1.51470388
Bolivia,2.730552,2.730552,0.0,2.730552,0.0,2.730552
Bolivia,7.6040601699999995,7.6040601699999995,0.0,7.6040601699999995,0.0,7.6040601699999995
Bolivia,37.0588511,37.0588511,0.0,37.0588511,0.0,37.0588511
Bolivia,41.765144596999995,41.765144596999995,0.0,41.765144596999995,0.0,41.765144596999995
Bolivia,63.523684247399984,63.523684247399984,0.0,0.0,63.523684247399984,63.523684247399984
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,0.0,0.46674376599999995,0.46674376599999995,0.0,0.0,0.46674376599999995
Bosnia and Herzegovina,0.0,1.7248283999999998,1.7248283999999998,0.0,0.0,1.7248283999999998
Bosnia and Herzegovina,0.0,22.9318959,22.9318959,0.0,0.0,22.9318959
Bosnia and Herzegovina,0.4160241,0.4160241,0.0,0.4160241,0.0,0.4160241
Bosnia and Herzegovina,0.47574278000000003,0.47574278000000003,0.0,0.47574278000000003,0.0,0.47574278000000003
Bosnia and Herzegovina,0.8445984,0.8445984,0.0,0.8445984,0.0,0.8445984
Bosnia and Herzegovina,1.1380778499999997,1.1380778499999997,0.0,1.1380778499999997,0.0,1.1380778499999997
Bosnia and Herzegovina,2.95550292,2.95550292,0.0,0.0,2.95550292,2.95550292
Bosnia and Herzegovina,9.09127095,9.09127095,0.0,9.09127095,0.0,9.09127095
Bosnia and Herzegovina,10.778721,10.778721,0.0,10.778721,0.0,10.778721
Bosnia and Herzegovina,13.1352661,13.1352661,0.0,13.1352661,0.0,13.1352661
Bosnia and Herzegovina,80.2493436,80.2493436,0.0,80.2493436,0.0,80.2493436
Botswana,0.0,0.022916810000000003,0.022916810000000003,0.0,0.0,0.022916810000000003
Botswana,0.0,0.041089999999999995,0.041089999999999995,0.0,0.0,0.041089999999999995
Botswana,0.0,0.100545,0.100545,0.0,0.0,0.100545
Botswana,0.0,0.1269389999999999,0.1269389999999999,0.0,0.0,0.1269389999999999
Botswana,0.03531802,0.03531802,0.0,0.03531802,0.0,0.03531802
Botswana,0.09901259999999971,0.09901259999999971,0.0,0.09901259999999971,0.0,0.09901259999999971
Botswana,0.11672759999999989,0.11672759999999989,0.0,0.0,0.11672759999999989,0.11672759999999989
Botswana,0.170031,0.170031,0.0,0.170031,0.0,0.170031
Brazil,0.0,57.225176367,57.225176367,0.0,0.0,57.225176367
Brazil,0.0,57.91196860699998,57.91196860699998,0.0,0.0,57.91196860699998
Brazil,0.0,131.09836013400002,131.09836013400002,0.0,0.0,131.09836013400002
Brazil,0.0,214.37217702600003,214.37217702600003,0.0,0.0,214.37217702600003
Brazil,0.00676361,0.00676361,0.0,0.00676361,0.0,0.00676361
Brazil,0.0149433999999999,0.0149433999999999,0.0,0.0149433999999999,0.0,0.0149433999999999
Brazil,12.89435851,12.89435851,0.0,12.89435851,0.0,12.89435851
Brazil,15.984822249999997,15.984822249999997,0.0,15.984822249999997,0.0,15.984822249999997
Brazil,17.64856417,17.64856417,0.0,17.64856417,0.0,17.64856417
Brazil,24.019664771,24.019664771,0.0,0.0,24.019664771,24.019664771
Brazil,29.285866199999997,29.285866199999997,0.0,29.285866199999997,0.0,29.285866199999997
Brazil,153.21462482,153.21462482,0.0,153.21462482,0.0,153.21462482
Brazil,315.51976105,315.51976105,0.0,315.51976105,0.0,315.51976105
Burkina Faso,0.0,0.4421401199999999,0.4421401199999999,0.0,0.0,0.4421401199999999
Burkina Faso,0.0,3.1045711199999997,3.1045711199999997,0.0,0.0,3.1045711199999997
Burkina Faso,0.0,8.47167282,8.47167282,0.0,0.0,8.47167282
Burkina Faso,0.0,100.45167204699999,100.45167204699999,0.0,0.0,100.45167204699999
Burkina Faso,0.0272642999999999,0.0272642999999999,0.0,0.0272642999999999,0.0,0.0272642999999999
Burkina Faso,0.2998236499999998,0.2998236499999998,0.0,0.2998236499999998,0.0,0.2998236499999998
Burkina Faso,1.438748,1.438748,0.0,1.438748,0.0,1.438748
Burkina Faso,35.599467366673004,35.599467366673004,0.0,0.0,35.599467366673004,35.599467366673004
Burkina Faso,37.281554994,37.281554994,0.0,37.281554994,0.0,37.281554994
Burkina Faso,48.56711447600001,48.56711447600001,0.0,48.56711447600001,0.0,48.56711447600001
Burundi,0.0,0.061137560999999806,0.061137560999999806,0.0,0.0,0.061137560999999806
Burundi,0.0,0.11163,0.11163,0.0,0.0,0.11163
Burundi,0.0,3.32647908,3.32647908,0.0,0.0,3.32647908
Burundi,0.0,9.00963532,9.00963532,0.0,0.0,9.00963532
Burundi,0.00813999,0.00813999,0.0,0.00813999,0.0,0.00813999
Burundi,0.0133562999999999,0.0133562999999999,0.0,0.0133562999999999,0.0,0.0133562999999999
Burundi,0.10191349999999999,0.10191349999999999,0.0,0.10191349999999999,0.0,0.10191349999999999
Burundi,0.16434796000000002,0.16434796000000002,0.0,0.16434796000000002,0.0,0.16434796000000002
Burundi,1.0353389999999996,1.0353389999999996,0.0,1.0353389999999996,0.0,1.0353389999999996
Burundi,16.014157599999997,16.014157599999997,0.0,0.0,16.014157599999997,16.014157599999997
Cabo Verde,0.0,0.0077091,0.0077091,0.0,0.0,0.0077091
Cabo Verde,0.0,0.6290957799999994,0.6290957799999994,0.0,0.0,0.6290957799999994
Cabo Verde,0.0,1.10018752,1.10018752,0.0,0.0,1.10018752
Cabo Verde,0.0,1.4565147099999995,1.4565147099999995,0.0,0.0,1.4565147099999995
Cabo Verde,0.2894929999999999,0.2894929999999999,0.0,0.2894929999999999,0.0,0.2894929999999999
Cabo Verde,2.0531498999999998,2.0531498999999998,0.0,2.0531498999999998,0.0,2.0531498999999998
Cabo Verde,2.1670666499999998,2.1670666499999998,0.0,0.0,2.1670666499999998,2.1670666499999998
Cabo Verde,25.271029889999998,25.271029889999998,0.0,25.271029889999998,0.0,25.271029889999998
Cambodia,0.0,4.348490252999999,4.348490252999999,0.0,0.0,4.348490252999999
Cambodia,0.0,11.681105550000002,11.681105550000002,0.0,0.0,11.681105550000002
Cambodia,0.0,12.768876725999998,12.768876725999998,0.0,0.0,12.768876725999998
Cambodia,0.0,77.278869856,77.278869856,0.0,0.0,77.278869856
Cambodia,0.0373601,0.0373601,0.0,0.0373601,0.0,0.0373601
Cambodia,0.1407642736999999,0.1407642736999999,0.0,0.1407642736999999,0.0,0.1407642736999999
Cambodia,0.36694099999999996,0.36694099999999996,0.0,0.36694099999999996,0.0,0.36694099999999996
Cambodia,1.019008,1.019008,0.0,1.019008,0.0,1.019008
Cambodia,1.097899,1.097899,0.0,1.097899,0.0,1.097899
Cambodia,11.7193784,11.7193784,0.0,11.7193784,0.0,11.7193784
Cambodia,38.537671010000004,38.537671010000004,0.0,0.0,38.537671010000004,38.537671010000004
