RecipientName,country_type,country_code,gdp,Mitigation_funding,effective_funding,perc_Mitigation
Afghanistan,LDCs,AFG,19609450491.0,72.46342575000001,291.532830141,0.5170791012439201
Albania,UMICs,ALB,13338567710.0,12.73384406,43.258693324999996,0.09086521336489572
Algeria,UMICs,DZA,167430000000.0,0.3832046339999999,19.244446634,0.0027344430061150573
Angola,LDCs,AGO,107086000000.0,1.66890634,6.969966532799999,0.01190885721197745
Antigua and Barbuda,Small Island Developing States,ATG,1515917778.0,10.986747750000001,11.28350245,0.07839841400492525
Argentina,UMICs,ARG,552902000000.0,1.1340227099999998,15.797476299999998,0.008092074554962568
Armenia,LMICs,ARM,11751535093.0,117.53830429000001,190.62791868000005,0.8387210529307276
Azerbaijan,UMICs,AZE,45393607318.0,0.00483033,4.34671673,3.446790804134103e-05
Bangladesh,LDCs,BGD,248563000000.0,366.60591924000005,716.5525707848001,2.6159991370725435
Belarus,UMICs,BLR,56403141352.0,1.662689142,6.409581335999999,0.011864492994845535
Belize,Small Island Developing States,BLZ,1817262720.0,2.57447846,4.2827398599999995,0.018370771109570833
Benin,LDCs,BEN,12910515819.0,22.435625530000003,63.90041229199,0.16009446096188112
Bhutan,LDCs,BTN,2264902343.0,2.5965864667,7.466531806699999,0.01852852777255513
Bolivia,LMICs,BOL,37126587467.0,91.288756497,245.35550764939995,0.6514114903426825
Bosnia and Herzegovina,UMICs,BIH,18287267400.0,116.12904478,144.20801576600002,0.8286649641754943
Botswana,UMICs,BWA,16895247027.0,0.3043616199999997,0.7125800299999995,0.00217184091552204
Brazil,UMICs,BRA,1877200000000.0,544.56970401,1029.197050915,3.885899820491972
Burkina Faso,LDCs,BFA,14153973552.0,87.61450541999999,235.68402889367297,0.6251930439336723
Burundi,LDCs,BDI,3057118985.0,1.3230967499999995,29.846136310999995,0.00944125496783805
Cabo Verde,Small Island Developing States,CPV,1795683047.0,27.613672789999995,32.97424655,0.19704358385646553
Cambodia,LDCs,KHM,22381009185.0,14.381350773700001,158.9963641687,0.10262136872183897
