effective_year,adaptation_funding,mitigation_funding,environment_funding,climate_without_env,diff,rel_dif
2000,111.301312,428.9506157,465.2743809,540.2519277,317.6493036,2.853958303
2001,65.32490017,355.4265175,416.4604309,420.7514177,290.1016173,4.440904105
2002,78.63149621,190.3315438,941.0789834,268.96304,111.7000476,1.420550962
2003,88.76079455,291.1970735,728.142484,379.9578681,202.436279,2.280694759
2004,104.6154158,422.3556457,901.9918906,526.9710615,317.7402299,3.037221882
2005,458.3322937,483.8594322,1157.557953,942.191726,25.52713849,0.055695701
2006,295.3933746,579.4580576,1535.629595,874.8514323,284.064683,0.961648796
2007,371.4362253,1037.682699,1992.624574,1409.118924,666.2464739,1.793703545
2008,1087.936738,1702.132998,2383.686075,2790.069736,614.1962598,0.564551447
2009,1651.875668,2055.199797,2826.139637,3707.075465,403.3241291,0.244161311
2010,2047.618383,3977.170765,3477.67601,6024.789148,1929.552382,0.942339841
2011,2164.595297,4174.544123,3008.669708,6339.13942,2009.948826,0.928556404
2012,1848.480736,3943.850463,2833.380458,5792.331199,2095.369726,1.133563194
2013,2143.612144,4332.641758,3373.581374,6476.253902,2189.029615,1.021187355
2014,2083.823565,4542.159358,3156.13482,6625.982923,2458.335792,1.179723578
2015,2391.837657,4349.806427,2970.870285,6741.644084,1957.968771,0.818604375
2016,2480.018577,4340.198313,3584.914611,6820.21689,1860.179736,0.750066856
2017,2547.771781,4928.392037,3452.70881,7476.163818,2380.620256,0.934393054
2018,3125.842443,5148.53242,3708.48732,8274.374863,2022.689976,0.64708635
2019,3269.657855,4466.691157,5011.775404,7736.349012,1197.033302,0.366103536
