text,relevance,label
climate resilience and climate protection of the pacific acpisland countries group of african carribean and pacific countries is improved coping with climate change in the pacific island region coping with climate change in the pacific island region,1,Adaptation
funding under this initiative from the australian department of immigration and citizenship diac builds capacity to enhance migration management and incorporates key principles under the framework irregular movement facilitated by people smuggling syndicates should be eliminated and states should support opportunities for orderly migration asylum seekers should have access to consistent assessment processes persons found to be refugees under those assessment processes should be provided with a durable solution persons found not to be in need of protection should be returned preferably on a voluntary basis to their countries of origin in safety and dignity returns should be sustainable and states should look to maximise opportunities for greater cooperation and people smuggling enterprises should be targeted through border security arrangements law enforcement activities and disincentives for human trafficking and smuggling regional cooperation arrangements builds capacity to enhance migration management regional cooperation arrangements builds capacity to enhance migration management,0,None
construction of a m reservoir installation of a very deep borehole and a drinking water supply network access to drinking water in the village of raz el farah tubas municipality access to the drinking water in the village of raz el farah commune of tubas,0,None
the action aims at increasing access to electricity in periurban areas of port vila and by so doing to improve quality of life of at least people living in the poorest suburbs of the capital who currently do not have access to electricity provision of affordable solar electricity to the periurban poor of portvila provision of affordable solar electricity to the periurban poor of portvila,1,Solar-energy
to solve the shortage of heat power supply rehabilitation project of the th thermal power plant in ula rehabilitation project of the th thermal power plant in ula,0,None
accelerated electricity access rural expansion accelerated electricity access rural expansion,0,None
the projects major objective is to demonstrate the feasibility of the cultivation of bioenergy crops on abandoned mining sites in viet nam furthermore it aims to demonstrate possibilities for defusing the conflict between the cultivation of food crops and the cultivation of bioenergy crops reintroducing abandoned mining sites into the economic cycle strengthening climate protection through innovative green technologies and establishing local sources of income the development of economic and legal framework for the cultivation of bioenergy crops in vietnam will be addressed as well cultivation of energy plants on setaside mining sites in viet nam pilot project cultivation of energy plants on setaside mining sites in viet nam pilot project,1,Biofuel-energy
transferring theoretical and practical knowledge and expert skills such as manufacturing installing monitoring maintaining and repairing an array of equipments for producing power and utilizing electricity engineering transferring theoretical and practical knowledge and expert skills such as manufacturing installing monitoring maintaining and repairing an array of equipments for producing power and utilizing electricity,0,None
the tcpf will fill the following technical gaps lack of knowledge of the links between traditional bioenergy the environment and protection in a crisis context the use of geographic information systems for the development of resilience programs the different technologies existing systems for cooking energy and the development of resilience activities in the energy sector tcpf land occupation analysis and management of forest resources to support the energy needs of moving people and commu tcpf land use analysis and management of forest resources to support the energy needs of people on the move and host communities in the diffa niger region,1,Biofuel-energy
study regarding the energetic optimisation of sewagetreatmant plants in jordan and measures to reduce co emissions study on the energetic optimization of sewage treatment plants and measures to reduce co emissions as well as an improved availability of water study on the energetic optimization of sewage treatment plants and measures to reduce co emissions as well as an improved availability of water,1,Other-mitigation-projects
dmwconferentie vromos efd energy policy and admin management dmwconferentie efd,0,None
support scientific research and technology including biotechnology that generates improvements in production systems crop livestock farm forest and fisheries valueadded products and management practices leading to sustainable productivity gains mitigation of risk and income growth it also supports dissemination and adoption of productivityenhancing and post harvest technologies valueadded products and management practices in these areas by reducing the barriers that may constrai government of macedonia research and technology dissemination research and technology dissemination,0,None
exploited marine ecosystems impact of global changes governance exploitation rech resources environments and their biodiversity rech resources environments and their biodiversity,1,Biodiversity
electrification rurale ile de masbate electrification rurale ile de masbate,0,None
joint project wtz indonesia geothermal energy project sustainability of the use of geothermal deposits in indonesia systemoptimal pilot sites and training program climate protection climate protection,1,Geothermal-energy
the project consists of supporting the ngovayang hospital belonging to the lolodorf health district and whose hospital dependent on the ministry of health lacks adequate personnel and means to care for the population of the health area for this some improvements will be made on the roofs that are already old with rotten wood repair of doors and windows the pharmaceutical stock will be supplied the maintenance of the ambulance the sanitary material will be done and a lightning rod will be installed to counteract the an electrical appliance produced by tropical storms that have repeatedly destroyed the generator set that supplies electricity to the hospital ultimately the operation of the hospital will be supported to improve the services it provides to the population and all this in an area of tropical rainforest rural and with a poor population and lacking minimal services both in education and health the illiterate inhabitants and cocoa farmers some and hunters who live nestled in the jungle others such as the bagyelis or pygmies the hospital has beds and has all the services it has been in operation since this year it celebrates its th anniversary at the service of the population integrated support for ngovayang hospital integrated support for ngovayang hospital,0,None
product type libor based loan asdb internal sector description multisector the project aims to promote balanced and environmentally sustainable urbanization and to improve living conditions in tianshui a secondtier city in gansu province prc it will support the restructuring and expansion of the qinzhou district heating network construction of urban roads and bridges and related services such as better flood control and stronger urban management capacity gansu tianshui urban infrastructure development prjct gansu tianshui urban infrastructure development prjct,0,None
the first power project aims at improving and expanding the urban electricity distribution networks in the three main cities of sanaa the capital hodeida and taiz and to improve ygecs organization and effectiveness through the provision of consulting services and training the project is the time slice of ygecs distribution program for the period it will include i the provision of about km of high and lowvoltage distribution lines and cables with mva of associated substations ii provision of new and rehabilitated consumer connections iii the supply of service vehicles communication equipment and electricity meters iv consulting services for project engineering and construction and for a rural electrification study and v a training program for engineering management and accountancy power project power project,0,None
conservation of critical wetland pas and linked landscapes conservation of critical wetland pas and linked landscapes,1,Nature_conservation
to increase the amount of unsecured lending to small scale enterprisesby barclays bank of kenya ltd by establishing a sustainable loan guarantee fund and improving the quality of loan applications small business loan guarantee scheme kenya small business loan guarantee scheme,0,None
